rang,repo,url,etoiles,forks,cree,pousse,langage,tier,score,axes,topics,description
16,Cyridd/cmpunlocker,https://github.com/Cyridd/cmpunlocker,36,3,2026-08-21,2026-09-10,Shell,S,25,MOD REBAR,,"Linux unlock and research project for NVIDIA CMP 40HX: compute, PCIe Gen2 x16, 8 GiB ReBAR, and Vulkan pipeline/MME throttle bypass."
17,xrip/cmp50hx-unlock,https://github.com/xrip/cmp50hx-unlock,50,13,2026-08-19,2026-09-16,C,S,25,MOD REBAR,cmp50hx nvidia unlock,"Unlocks full compute, PCIe Gen2 and ReBar support for CMP 50HX mining cards. Same performance as RTX 2080 Ti achieved. One click install."
18,xCuri0/X58Above4G,https://github.com/xCuri0/X58Above4G,6,1,2023-10-10,2023-10-10,C,S,24,DECODE REBAR,,Above 4G Decoding / Resizable BAR on Intel X58 chipset
19,kriptosamu/am4-bios-optimization-guide,https://github.com/kriptosamu/am4-bios-optimization-guide,0,0,2026-06-09,2026-06-09,,S,23,PLAT REBAR,,"Comprehensive AMD AM4 UEFI/BIOS tuning guide. Optimize Ryzen PBO, Curve Optimizer, and Resizable BAR for maximum performance"
20,danindiana/rebar-vbios-rtx3080,https://github.com/danindiana/rebar-vbios-rtx3080,0,0,2026-05-14,2026-05-17,Shell,S,23,REBAR VBIOS,,RTX 3080 ReBAR VBIOS audit + multi-GPU topology findings for worlock
21,LargoGitH/Z170M-PLUS-Non-K-OC-BIOS-Mod-with-REBAR,https://github.com/LargoGitH/Z170M-PLUS-Non-K-OC-BIOS-Mod-with-REBAR,1,0,2026-06-07,2026-08-28,,S,23,PLAT REBAR,,ReBar-Modded and Coffee Lake Non-K OC BIOS for Asus Z170M-PLUS motherboard (thanks to @HanmineKa on Winraid forum)
22,JEEPQA/UefiVarPro,https://github.com/JEEPQA/UefiVarPro,1,0,2025-09-09,2025-09-09,C,S,23,CN SETUP,,"Windows下UEFI Variable读写Demo,包括修改启动项的例子"
23,NZK95/grubmod,https://github.com/NZK95/grubmod,2,0,2025-10-04,2026-06-14,C#,S,23,MOD SETUP,bios cpu grub scewin,Modify hidden BIOS/UEFI variables via the GRUB without BIOS modding.
24,danindiana/rtx3080-rebar-vbios,https://github.com/danindiana/rtx3080-rebar-vbios,10,0,2026-05-17,2026-05-17,Shell,S,23,REBAR VBIOS,linux nvidia resizable-bar vbios,Scripts and guide for flashing RTX 3080 VBIOS to enable Resizable BAR (8GB BAR1) on Linux
25,Thrilleratplay/vgabios_finder,https://github.com/Thrilleratplay/vgabios_finder,0,0,2026-06-25,2026-07-01,Python,S,22,AN TOOL VBIOS,,Find VGA BIOS blobs from UEFITool's UEFIExtract dumps
26,qihanqihan-gif/bios-unlock-studio,https://github.com/qihanqihan-gif/bios-unlock-studio,0,0,2026-08-11,2026-08-11,Python,S,22,CN MOD,,本地优先的 BIOS / UEFI 只读结构诊断与研究账本工具
27,formal-m/Mechrevo16ultra2025_BIOS_unlock,https://github.com/formal-m/Mechrevo16ultra2025_BIOS_unlock,0,0,2026-08-18,2026-08-18,,S,22,CN MOD,,机械革命耀世/苍龙16ultra2025版 BIOS解锁，耀世方案为降级，苍龙方案为umaf
28,melynx/insyde-uefi-variable-recovery,https://github.com/melynx/insyde-uefi-variable-recovery,0,0,2026-08-14,2026-08-21,C,S,22,SETUP TOOL,,Diagnose and work around Insyde UEFI variable enumeration failures
29,hiez1337/SCEWIN-Studio,https://github.com/hiez1337/SCEWIN-Studio,1,0,2026-09-05,2026-09-06,C#,S,22,SETUP TOOL,,Modern .NET 8 Fluent Design GUI for AMI Aptio V UEFI NVRAM management (AMISCE / SCEWIN)
30,luo980/hyprlock-fido-unlock,https://github.com/luo980/hyprlock-fido-unlock,1,0,2026-08-30,2026-08-31,Shell,S,22,CN MOD,,"用 FIDO2 安全密钥(YubiKey Bio)触摸解锁 hyprlock,与密码并行互不干扰"
31,Navesz/rebar,https://github.com/Navesz/rebar,0,0,2026-08-30,2026-09-17,JavaScript,S,21,AN REBAR,ai-agents claude-code code-quality continuous-integration developer-tools git-ho,"Makes wrong code fail. A checker for any repository, a scanner for known prompt-injection signatures in versioned files, a gate (hooks, CI, ruleset) that blocks the commit, and a generator whose projects start passing."
32,otacoo/rebar-re,https://github.com/otacoo/rebar-re,0,0,2026-09-09,2026-09-11,Assembly,S,21,AN REBAR,,Reverse engineering attempts at enabling ReBAR on Frankenstein RTX 3060 12GB (laptop die)
33,DenisSolicen/Asus-X99-A-II-ReBAR,https://github.com/DenisSolicen/Asus-X99-A-II-ReBAR,1,0,2025-05-19,2025-05-19,,S,21,PLAT REBAR,rebar resizable-bar smart-access-memory,A proven way to activate ReBAR (Resizable BAR) on ASUS X99 A-II.
34,tlljyang/HUANANZHI-X99-F8D-PLUS-Double-Boost-BIOS,https://github.com/tlljyang/HUANANZHI-X99-F8D-PLUS-Double-Boost-BIOS,1,0,2026-06-14,2026-06-14,Batchfile,S,21,CN TOOL,2025 bios boost cpu-boost double-cpu huanan huananzhi latest s3-tool x99 x99-f8d,开启了双CPU降压鸡血的华南X99 F8D Plus鸡血BIOS。基于官网最新的2025版本BIOS修改。E5v3（双2699v3）测试稳定。FPTW强刷就行。Gitlab仓库的备份
35,Adnini983/vbios,https://github.com/Adnini983/vbios,0,0,2025-01-11,2025-03-15,,S,20,CN VBIOS,,个人收集的显卡vBIOS 下载见README.md
36,evw88/VBios-Editor,https://github.com/evw88/VBios-Editor,0,0,2026-07-11,2026-07-11,C#,S,20,MOD VBIOS,,"vBIOS Editor — Windows desktop tool for GPU firmware engineering. Backup, flash, analyze, compare, and edit NVIDIA/AMD vBIOS ROMs. Edit power limits, clocks, voltages, and thermals. Raw hex editor included. Auto-detects "
37,ShanHai5218/cmp170hx-gen21,https://github.com/ShanHai5218/cmp170hx-gen21,0,2,2026-08-03,2026-07-27,,S,20,MOD VBIOS,,"PCIe Gen1 to Gen2 on the NVIDIA CMP 170HX: retrain the link inside the transient window the cmpunlocker Gen2 patch opens. Stock VBIOS, no flash. 0.85 -> 1.71 GB/s."
38,qiang65/opencore-EFI-for-asus-PRIME-H510M-A-11500F-RX580-2048SP,https://github.com/qiang65/opencore-EFI-for-asus-PRIME-H510M-A-11500F-RX580-2048SP,0,0,2026-08-18,2026-08-18,,S,20,CN PLAT,,"我的配置用opencore 1.0.7 生成 的EFI只需要把bios设置好, 基本不用打磨驱动直接用。 1.显卡是迪兰恒进RX580 2048SP 8G版，需要刷成RX570黑苹果可免驱。 2.系统用苹果26 Tahoe需要注入applealc才能仿冒声卡，显卡直出有声音 3.用Sequoia系统直接使用，不用配置，声卡显卡网卡完美驱动，休眠唤醒正常 opencore EFI for asus  PRIME H510M-A+11500"
39,srvr-farm/mi50-gaming,https://github.com/srvr-farm/mi50-gaming,1,0,2026-08-09,2026-08-09,Shell,S,20,MOD VBIOS,,"Flash a custom Radeon VII vbios with working display output, unlocked power limits and overclocking to a chinese Mi50 card."
40,thaurock-x/CMP-170HX-64GB-Unlocked-VBIOS,https://github.com/thaurock-x/CMP-170HX-64GB-Unlocked-VBIOS,1,0,2026-09-16,2026-09-16,,S,20,MOD VBIOS,,
41,344303947/CMP-170HX-64GB-Unlocked-VBIOS,https://github.com/344303947/CMP-170HX-64GB-Unlocked-VBIOS,2,15,2026-08-24,2026-08-24,,S,20,MOD VBIOS,,
42,duggasco/CMP100-210,https://github.com/duggasco/CMP100-210,5,2,2026-09-08,2026-09-09,Python,S,20,MOD VBIOS,cuda firmware gpu nvidia reverse-engineering vbios volta,"Unlocking the NVIDIA CMP 100-210 (GV100): an L3 privilege primitive from an unbounded copy in NVIDIA's own boot firmware. FP64 15.5x, tensor cores 14.4x, PCIe 3.95x, memory +8.4% — measured."
43,NatsumeAi/CMP-90HX-Compute-PCIE2.0-unlock,https://github.com/NatsumeAi/CMP-90HX-Compute-PCIE2.0-unlock,5,2,2026-08-23,2026-08-23,Shell,S,20,MOD VBIOS,,unlock compute & PCIE2.0 for CMP 90HX VBIOS 0.7
44,NIyueeE/ThinkPad-Mod-Guide,https://github.com/NIyueeE/ThinkPad-Mod-Guide,5,0,2025-09-18,2025-09-28,,S,20,CN MOD,1vyrain bios-mod custom-boot-logo guide thinkpad thinkpad-ec tutorial uefi white,"A comprehensive guide for modding ThinkPad , unlocking BIOS, enabling the classic keyboard, and customizing boot logo by integrating 1vyrain and thinkpad-ec. 一份详尽的 ThinkPad 魔改指南，通过整合 1vyrain 和 thinkpad-ec 项目，实现解锁 BIOS、安装"
45,Tamalero/amd-v620-soft-unlock,https://github.com/Tamalero/amd-v620-soft-unlock,15,4,2026-07-15,2026-07-24,Shell,S,20,MOD VBIOS,amd gpu-passthrough overclocking proxmox radeon rocm v620 vfio,"Unlock clock & power control on the AMD Radeon Pro V620 in passthrough VMs — 4-byte VBIOS pptable patch via QEMU romfile, no flash, no CU loss"
46,danindiana/rtx3080-vbios-extraction,https://github.com/danindiana/rtx3080-vbios-extraction,0,0,2026-05-15,2026-05-15,,S,19,AN PLAT VBIOS,,"RTX 3080 VBIOS ROM extraction — subsystem 1043:87B0, target ROM 94.02.42.40.AS03 from ASUS RTX3080_V6.exe"
47,ant0-blase/lenovo-83jx-bios-re,https://github.com/ant0-blase/lenovo-83jx-bios-re,0,0,2026-09-11,2026-09-15,C,S,19,AN SETUP,,"Reverse engineering and performance tuning research for the Lenovo Yoga Slim 7 14ILL10 (83JX, Intel Lunar Lake): hidden CpuSetup IFR, power/EDP behavior, BCLK, Reactive PL4 and OC/UVP tooling."
48,ahmed-chrif/Edge-OS,https://github.com/ahmed-chrif/Edge-OS,1,0,2026-07-10,2026-09-15,BitBake,S,19,TOOL VBIOS,bitbake confext edk2 embedded-systems immutable immutable-linux immutable-os lin,"EdgeOS — Custom immutable Embedded Linux distribution for NVIDIA Jetson Orin Nano, built with Yocto, featuring A/B rootfs, systemd extensions, and SWUpdate-based OTA updates."
49,mixa3607/ami-patching-infra,https://github.com/mixa3607/ami-patching-infra,1,0,2025-12-23,2026-09-06,JavaScript,S,19,MOD TOOL,,Ami Aptio BIOS patching infra (configured for Axiomtek IMB760)
50,dev5050-0/AI-Powered-Iframe-Data-Scraper-,https://github.com/dev5050-0/AI-Powered-Iframe-Data-Scraper-,2,0,2025-09-19,2026-09-17,HTML,S,19,AN SETUP,ai browser browser-extension chatgpt iframe iframe-embeds openai scraper scrapin,"🧠 Automate iframe data extraction with this AI-powered browser extension, transforming unstructured data into actionable JSON for healthcare portals."
51,direstraits96/BIOS-MOD-TOOLS,https://github.com/direstraits96/BIOS-MOD-TOOLS,258,76,2021-10-03,2026-09-14,HTML,S,19,MOD SETUP,amibcp bios cbrom epa modding-tools,Repository with various tools for modding bios
52,LongSoft/IFRExtractor-RS,https://github.com/LongSoft/IFRExtractor-RS,480,34,2018-10-05,2026-03-11,Rust,S,19,AN SETUP TOOL,,Rust utility to extract UEFI IFR data into human-readable text
53,cyyself/nvidia-rebar,https://github.com/cyyself/nvidia-rebar,0,0,2026-08-25,2026-08-26,C,S,18,REBAR,,Kernel Resizable BAR for NVIDIA GPU without BIOS supports
54,TelescaAntonio/t2-egpu-nvidia,https://github.com/TelescaAntonio/t2-egpu-nvidia,0,0,2026-08-19,2026-08-26,Shell,S,18,REBAR,,NVIDIA eGPU on Apple T2 Intel Macs under Linux: Resizable BAR windowing method (RTX 3090 validated). Companion repo of the IRST Institute paper.
55,anon2k24-design/BIOS-Optimization-Checker,https://github.com/anon2k24-design/BIOS-Optimization-Checker,0,0,2026-06-10,2026-06-15,PowerShell,S,18,REBAR,,"Hardware aware PowerShell tool that analyzes your system and provides BIOS and UEFI optimization recommendations for better gaming performance. Generates a readable report with suggested settings like XMP, Resizable BAR,"
56,TheAkulaShark/vBIOS-MOD,https://github.com/TheAkulaShark/vBIOS-MOD,0,0,2025-03-21,2025-03-21,,S,18,MOD VBIOS,,vBIOS MODDING FOR RX 4XX 5XX GPU's
57,billybob300c/msi-r9-390-vbios,https://github.com/billybob300c/msi-r9-390-vbios,0,0,2026-09-15,2026-09-15,,S,18,PLAT VBIOS,,
58,Jeanmarcus93/hp-probook-445g7-amdgpu-fix,https://github.com/Jeanmarcus93/hp-probook-445g7-amdgpu-fix,0,0,2026-07-08,2026-07-09,Shell,S,18,PLAT VBIOS,amdgpu black-screen dsdt-override hp-probook linux-kernel renoir ryzen-4500u,Fix for AMD Renoir black screen on HP ProBook 445 G7 — VBIOS file-load + HPD underflow patch + DKMS
59,mohitjnucse-ux/msi-gf63-custom-vbios-70w-gtx1650-maxq,https://github.com/mohitjnucse-ux/msi-gf63-custom-vbios-70w-gtx1650-maxq,0,0,2026-06-13,2026-06-13,Batchfile,S,18,PLAT VBIOS,,"Custom GTX 1650 Max-Q VBIOS performance analysis on MSI GF63 Thin 11SC. Includes thermals, power limits, benchmarking, undervolting, and stability testing."
60,PeterT0/AsRockZ97-Extended-Settings-BIOS-Mod,https://github.com/PeterT0/AsRockZ97-Extended-Settings-BIOS-Mod,0,0,2026-07-14,2026-07-14,,S,18,MOD PLAT,,A BIOS mod I made for my PC
61,nmkhanh/Rebar,https://github.com/nmkhanh/Rebar,0,0,2026-09-15,2026-09-17,C#,S,18,REBAR,,
62,Nrect/rebar,https://github.com/Nrect/rebar,0,0,2026-09-04,2026-09-17,Go,S,18,REBAR,,"Переносимые production-ready пакеты на Go: почта, платежи, права доступа"
63,chiita02/rebarance_check,https://github.com/chiita02/rebarance_check,0,0,2026-07-15,2026-09-16,Python,S,18,REBAR,,
64,rebaromar/rebartext-,https://github.com/rebaromar/rebartext-,0,0,2026-09-09,2026-09-16,HTML,S,18,REBAR,,rebar it
65,rebarsim/rebarsim.github.io,https://github.com/rebarsim/rebarsim.github.io,0,0,2026-08-18,2026-09-16,HTML,S,18,REBAR,,
66,tsrobcvai/Web-ICRA2027-Visual-Sim2Real-Rebar-Insertion,https://github.com/tsrobcvai/Web-ICRA2027-Visual-Sim2Real-Rebar-Insertion,0,0,2026-08-13,2026-09-16,HTML,S,18,REBAR,,
67,kkkissiedu/Rebar-Cyclic-Plasticity-Calibration,https://github.com/kkkissiedu/Rebar-Cyclic-Plasticity-Calibration,0,0,2026-08-24,2026-09-16,Python,S,18,REBAR,,"Chaboche / UVC / Ohno-Wang cyclic-plasticity calibration for rebar LCF — every fit re-verified against a real ABAQUS FE solve, not just curve-fitted."
68,ob27/rebarui,https://github.com/ob27/rebarui,0,0,2026-08-30,2026-09-16,TypeScript,S,18,REBAR,,"Headless-first, intentionally low-fidelity React component library — built to be built with, by an LLM, through a small placement layer."
69,prasanna172605/Client-2,https://github.com/prasanna172605/Client-2,0,0,2026-09-16,2026-09-16,JavaScript,S,18,REBAR,,Rebar website
70,nnee8122/rebaranalysis-v2026-ai-qc,https://github.com/nnee8122/rebaranalysis-v2026-ai-qc,0,0,2026-07-24,2026-09-16,HTML,S,18,REBAR,4x-strategy-game ai-sdk civ compiler function-calling gemini gui libgdx react st,Automate rebar inspection by matching site photos to design drawings to verify construction compliance within BIM workflows.
71,rubinseeamado33904-stack/rebar-spacing-scanner,https://github.com/rubinseeamado33904-stack/rebar-spacing-scanner,0,0,2026-09-16,2026-09-16,JavaScript,S,18,REBAR,,
72,stongtp1994-jpg/Rebar_Dashboard,https://github.com/stongtp1994-jpg/Rebar_Dashboard,0,0,2026-09-16,2026-09-16,HTML,S,18,REBAR,,
73,qader-steel/rebar-main,https://github.com/qader-steel/rebar-main,0,0,2026-05-21,2026-09-15,Python,S,18,REBAR,,
74,Abel563s/rebar-app,https://github.com/Abel563s/rebar-app,0,0,2026-02-13,2026-09-15,Blade,S,18,REBAR,,
75,StretchAus/AMD-REBAR-FIX-WIN10,https://github.com/StretchAus/AMD-REBAR-FIX-WIN10,0,0,2026-07-07,2026-09-15,Batchfile,S,18,REBAR,,"AMD's new drivers cut Windows 10 ReBAR by decoupling system-level amdkmpfd files to fix install bugs, ditching optimizations for an aging OS. It’s incredibly insulting to be forced onto a worse gaming experience or pushe"
76,Zachary-ZiyueZhao/rebarRecognizationModel,https://github.com/Zachary-ZiyueZhao/rebarRecognizationModel,0,0,2026-09-14,2026-09-14,Python,S,18,REBAR,,
77,krousenue/rebar-dashboard,https://github.com/krousenue/rebar-dashboard,0,0,2026-05-06,2026-09-14,Python,S,18,REBAR,,
78,lisong2003-lgtm/cad-file-reader,https://github.com/lisong2003-lgtm/cad-file-reader,0,0,2026-08-31,2026-09-16,,S,18,REBAR,,"CAD file reader skill: DWG/DXF/DWT parsing, member/rebar/concrete stats, building practices, drawing search, DWG to DXF conversion."
79,Invy907/rebar-optimizer,https://github.com/Invy907/rebar-optimizer,0,0,2026-03-11,2026-09-15,TypeScript,S,18,REBAR,,
80,Tahmoures54/RebarAgent,https://github.com/Tahmoures54/RebarAgent,0,0,2026-07-27,2026-09-14,Python,S,18,REBAR,,
81,Navesz/navesz-portfolio,https://github.com/Navesz/navesz-portfolio,0,0,2026-09-07,2026-09-14,JavaScript,S,18,REBAR,github-pages nextjs open-source personal-website portfolio shadcn-ui static-site,"Portfólio de Navesz: ferramentas, IA, simulação e aplicações web. Gerado com rebar e publicado com verificações em Windows e Linux."
82,bharathm37026-cmd/Racket-rebar-service-,https://github.com/bharathm37026-cmd/Racket-rebar-service-,0,0,2026-09-13,2026-09-13,HTML,S,18,REBAR,,
83,JCDPCG808/dextrausa,https://github.com/JCDPCG808/dextrausa,0,0,2026-09-06,2026-09-13,,S,18,REBAR,,Dextra USA - Hawaii-exclusive GFRP rebar distribution site
84,engahmed121314/civileg2,https://github.com/engahmed121314/civileg2,0,0,2026-04-12,2026-09-13,Kotlin,S,18,REBAR,,"CivilEG 2 — Professional Android structural engineering design app (RC/Steel) supporting ECP 203/205, ACI 318, SBC 304, and AISC 360. Features beam, column, slab, footing, stair, retaining wall, water tank, and steel des"
85,NagaYu/rebar,https://github.com/NagaYu/rebar,0,0,2026-09-12,2026-09-12,Python,S,18,REBAR,,"Restore the heading hierarchy of Japanese documents from flat text, and chunk along it for better retrieval. CPU-only, layout-independent."
86,lophiuss/RebarPro,https://github.com/lophiuss/RebarPro,0,1,2026-08-21,2026-09-12,TypeScript,S,18,REBAR,,
87,damdikdamdin-cmyk/rebar-franchise,https://github.com/damdikdamdin-cmyk/rebar-franchise,0,0,2026-09-11,2026-09-11,HTML,S,18,REBAR,,"re:bar franchise — landing, CRM, hub, ops"
88,Autorebar-Addon/AutoCAD-AutoRebar-Plugin-Download,https://github.com/Autorebar-Addon/AutoCAD-AutoRebar-Plugin-Download,0,0,2026-09-09,2026-09-11,,S,18,REBAR,,AutoRebar enhances AutoCAD with a focused set of tools for reinforced concrete drafting and reinforcement documentation. It is designed to make the preparation of rebar drawings more structured by bringing reinforcement 
89,yuenkamwa/Drafting-Helper,https://github.com/yuenkamwa/Drafting-Helper,0,0,2026-07-05,2026-09-10,,S,18,REBAR,,This is a simple tool to create rebar drawing.
90,bekzatkaiyrtaev-boop/rebar-calculator,https://github.com/bekzatkaiyrtaev-boop/rebar-calculator,0,0,2026-06-30,2026-09-10,HTML,S,18,REBAR,,
91,cadrecust/CPyRO-HANet-Cols-MATLAB,https://github.com/cadrecust/CPyRO-HANet-Cols-MATLAB,0,0,2026-07-18,2026-09-10,MATLAB,S,18,REBAR,,Constructability-aware Physics-Informed Heterogeneous Graph Attention Network for Rebar Optimization Design in Concrete Columns
92,karthikramx/rebar,https://github.com/karthikramx/rebar,0,0,2026-08-05,2026-09-10,JavaScript,S,18,REBAR,,IFC File viewer
93,ketandasalaniya1/RebarOptima,https://github.com/ketandasalaniya1/RebarOptima,0,0,2026-07-04,2026-09-09,HTML,S,18,REBAR,,
94,grevitypoint/rebarkit-releases,https://github.com/grevitypoint/rebarkit-releases,0,0,2026-09-09,2026-09-09,,S,18,REBAR,,"Public release repository for Rebarkit, the Revit Rebar add-in from GRevity Point"
95,Yuri-Soriao/Rebar-Optimizer,https://github.com/Yuri-Soriao/Rebar-Optimizer,0,0,2026-09-08,2026-09-09,HTML,S,18,REBAR,,
96,gaborschnierer/Rebarkit-Releases,https://github.com/gaborschnierer/Rebarkit-Releases,0,0,2026-03-05,2026-09-09,JavaScript,S,18,REBAR,,"Installer releases for Rebarkit, the Revit Rebar productivity plugin."
97,youngbrain85/RebarSplice,https://github.com/youngbrain85/RebarSplice,0,1,2026-08-25,2026-09-09,Python,S,18,REBAR,,철근 겹침이음(lap splice) 자동 검출 — YOLO 학습 + Core ML 변환 파이프라인. iOS/ARKit 현장 검측용.
98,asem1988/Rebar-takeoff-Tool,https://github.com/asem1988/Rebar-takeoff-Tool,0,0,2026-09-08,2026-09-08,,S,18,REBAR,,Tool
99,conwerter1/measurekit,https://github.com/conwerter1/measurekit,0,1,2026-06-10,2026-09-08,Kotlin,S,18,REBAR,,"Offline measurement and audit toolkit for field engineers. Rebar YOLO detector, ruler, rangefinder, area calculator."
100,DamageBDD/rebar3_pkg,https://github.com/DamageBDD/rebar3_pkg,0,0,2025-08-29,2026-09-08,Erlang,S,18,REBAR,,Rebar3 package to generate and publish OTP applications
101,Navesz/rebar-site,https://github.com/Navesz/rebar-site,0,0,2026-09-05,2026-09-13,TypeScript,S,18,REBAR,,A landing do rebar — o primeiro site gerado pelo proprio gerador
102,axoul1979-pixel/dxf-rebar-organizer,https://github.com/axoul1979-pixel/dxf-rebar-organizer,0,0,2026-08-11,2026-09-07,Python,S,18,REBAR,,
103,Chengen-Li/A-Mixture-of-Measurement-Strategies-Framework-for-Monocular-Mobile-Rebar-Spacing-Inspection,https://github.com/Chengen-Li/A-Mixture-of-Measurement-Strategies-Framework-for-Monocular-Mobile-Rebar-Spacing-Inspection,0,0,2026-01-23,2026-09-07,Python,S,18,REBAR,,
104,rebargen/rebargen.github.io,https://github.com/rebargen/rebargen.github.io,0,0,2026-04-27,2026-09-06,JavaScript,S,18,REBAR,,
105,naveenmsccs003/mds-rebar-dynamic-site,https://github.com/naveenmsccs003/mds-rebar-dynamic-site,0,0,2026-09-06,2026-09-06,Python,S,18,REBAR,,this is dynamic site
106,Myenum2412/myworkspace,https://github.com/Myenum2412/myworkspace,0,0,2026-06-15,2026-09-13,TypeScript,S,18,REBAR,detailing nextjs rebar structure,"MyWorkspace by Myenum is a powerful structural design and project management platform built for engineering teams. It streamlines workflows, manages drawings, transmittals, and collaboration, ensuring accuracy, efficienc"
